SNID,SURVEY,RA,DECL,SUBCLASS,REDSHIFT_FINAL,SIGMA_Z,LOG_HOSTMASS,GRIZ_MU,GRIZ_MU_ERR,GRIZ_AV,GRIZ_AV_ERR,GRIZ_THETA,GRIZ_THETA_ERR,GRIZ_T0,GRIZ_T0_ERR,GRIZ_REDCHI2,GRI_MU,GRI_MU_ERR,GRI_T0,GRI_T0_ERR,GRI_THETA,GRI_THETA_ERR,GRI_AV,GRI_AV_ERR,Z_MU,Z_MU_ERR,Z_THETA,Z_THETA_ERR,N_G_OBS,FIRST_G_OBS,N_R_OBS,FIRST_R_OBS,N_I_OBS,FIRST_I_OBS,N_Z_OBS,FIRST_Z_OBS
2020eci,YSE,230.81205,0.064954,SNIa-norm,0.07148361951120197,7.88e-06,-9999.0,37.5344391,0.12078730728511995,0.156059124162,0.10953291757215095,-0.38471133375,0.4186058850366911,58922.3991,1.5565375645963595,0.3801577489403965,37.5867587,0.1342050295790364,58922.57059999999,1.8289657295860007,-0.355494905938,0.5152641323353947,0.12834004260400003,0.10200828647665687,37.591306599999996,0.1387412281783608,-0.56764877497,0.555757717697814,4,58931.51,3,58931.51,0,nan,3,58940.61
2020ees,YSE,201.8133,32.03363,SNIa-norm,0.025533197369494862,6.67e-06,-9999.0,35.1858739,0.08659378192913189,0.215514998697,0.08917434347560013,-0.38496491665,0.20755684674603686,58927.5971,0.9669548024598174,1.3185702696537904,35.1299567,0.1045746059763556,58927.785200000006,1.0180083300248692,-0.347534725059,0.210337889147358,0.2746687341,0.10714829102108071,35.2963469,0.11920308490299227,-0.056161348828,0.9923495346428929,4,58934.5,4,58929.53,2,58957.54,1,58949.37
2020esm,YSE,211.826088,-5.127117,SNIa-SC,0.03746471834191372,0.00015,-9999.0,34.934582999999996,0.05635996301453742,0.343812633,0.08693313914019389,-0.7298363729999999,0.17666308832299937,58945.459299999995,0.3172908917696711,0.879305070654695,35.055718,0.063172481952192,58945.63990000001,0.3054799338745317,-0.6128754661,0.17803675652780737,0.19144761497,0.09543152460670748,34.739506500000005,0.17804345527918172,0.7494862116,0.957787903353848,7,58937.56,4,58937.56,7,58937.56,2,58937.56
2020evu,YSE,238.12045,24.494119,SNIa-norm,0.059375543063194744,6.59e-06,10.043934178681852,36.8908453,0.07704654838414234,0.4504211329999999,0.07610076746215712,-0.646203225,0.18273826994407158,58941.4978,0.38924948297987483,0.4358642321310889,36.99180689999999,0.14147778653339912,58941.3951,0.3824735154230048,-0.7042945825200001,0.2124771290459074,0.3674380042,0.12228610780337201,37.08201510000001,0.08762989399736809,-0.44835263855,0.4632011530039155,8,58931.52,7,58931.52,4,58958.59,6,58941.54
2020ewx,YSE,229.327104,13.02275,SNIa-norm,0.06102841986772062,-9999.0,9.206867514345756,37.0532828,0.05948344680799861,0.142694586023,0.08595972561492898,-0.829990814,0.255908080103607,58944.7284,0.9082474552676305,0.3294122116042074,36.9977744,0.07946125536788361,58944.964799999994,0.9171046614209402,-0.866663006,0.2758360529694477,0.207118099746,0.11270293515280295,37.135198300000006,0.13625861876266776,-0.08631067169000001,0.926682571284235,5,58955.46,5,58945.5,4,58942.49,3,58951.45
2020fhs,YSE,240.276175,19.450186,SNIa-norm,0.015003913140470001,6.78e-06,10.338412828604895,34.3148939,0.06476498739897976,0.510170552,0.07641973936380113,2.09984461,0.17354220795831746,58949.0451,0.3609653584488113,0.22497173017165836,34.367392800000005,0.09808185055432035,58949.012299999995,0.3775959613131345,2.3261351,0.20440500105865805,0.4006696681,0.11336076832871173,34.766173699999996,0.07697138727027077,1.4115318040000002,0.2853087118022995,5,58959.59,4,58947.61,4,58959.59,4,58947.62
2020ftl,YSE,185.015713,5.343329,SNIa-norm,0.0087294724405642,6.67e-06,-9999.0,32.820278699999996,0.07156202761458072,0.10266859106,0.06538826656185327,2.96434363,0.20833934299772355,58955.633799999996,0.26955066314144643,0.13409126348438688,32.8140064,0.06865047675755799,58955.6849,0.302228373916219,2.82047813,0.25528777284704235,0.1301121502703,0.07178118350687382,33.7697317,0.2862623286167951,-0.044664056185999994,0.9342673971266943,3,58959.34,4,58951.4,2,58951.4,1,58983.29
2020hr,YSE,139.623775,28.141627,SNIa-norm,0.08339162421490937,1e-05,-9999.0,37.008156,0.08575742815639951,0.090164992005,0.06831728210809884,0.7044545944738,0.46802601224205087,58865.341400000005,1.8180885676995433,0.2772337894889089,36.995035900000005,0.08235202426892727,58865.3708,1.778973681649035,0.732953739413,0.4810893666329292,0.0988798920534,0.07224073680842868,nan,nan,nan,nan,2,58867.44,1,58870.53,2,58867.44,0,nan
2020igy,YSE,244.532171,21.066292,SNIa-norm,0.031766743111329376,9e-06,-9999.0,35.3524245,0.10218674292563587,0.1014278879003,0.07938572314757342,0.7139933022099999,0.3907218431365291,58977.845799999996,3.0086977847566656,0.06493605734526764,35.0115026,0.29530835716796094,58975.7467,3.4265973078259497,0.844748961632,0.6626220321509971,0.17391369887299998,0.15414087448660763,35.445549099999994,0.12281046518595218,-0.004745132764000005,0.950660941461497,2,58990.38,0,nan,0,nan,1,58998.36
2020ilb,YSE,145.266392,34.73362,SNIa-norm,0.05153288412612435,1e-05,11.037441092618979,36.4350864,0.06528680934951565,0.557006635,0.08117955728181679,-0.11504369202253999,0.357135754510923,58980.8368,0.5632634907395617,0.20278501872551535,36.4051526,0.11934723714120905,58980.759900000005,0.5472494769299155,-0.15436881504000002,0.36987375212397117,0.5991356470000001,0.12171800984959619,36.6889977,0.14118698178199718,-0.013240951004000003,0.9347649073877715,3,58985.26,3,58973.27,3,58973.27,3,58974.31
